control_gene_order,control_gene,matrix_feature_index_1based,expression_bin,mean_log1p_normalized_expression,fixed_configuration,interpretation_limit
1,1700037C18Rik,23762,17,0.05067750431113061,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
133,Nagk,10802,20,0.1836208104925553,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
134,Nbea,5451,19,0.11147742141394486,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
135,Ncbp2,24072,20,0.16076628690560982,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
136,Ncoa4,16830,16,0.030725243392072818,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
137,Nelfe,25109,20,0.1778607345827398,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
138,Nexn,6529,15,0.012106864783256385,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
139,Nfs1,3625,19,0.1306317952639567,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
140,Nipsnap1,19087,15,0.023554829758036137,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
141,Nmrk1,27453,16,0.03374274707587696,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
142,Nudt5,1757,19,0.14017003925858093,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
143,Nup85,20855,17,0.0638464292537372,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
144,Opa3,11933,19,0.14596017318185286,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
145,Opalin,27634,16,0.029423275984962183,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
146,Osbpl3,10500,16,0.03204695551904211,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
147,Osgepl1,327,17,0.05025270922894621,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
148,Otud5,4100,20,0.22423398933001798,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
149,Oxsm,16677,16,0.04039928253591991,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
150,Oxsr1,18953,17,0.06348733949848859,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
151,Pacs1,27139,19,0.14584946363917717,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
152,Pcgf6,27748,16,0.04255403221874576,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
153,Pdxdc1,23859,20,0.1664619575182726,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
154,Pecam1,20734,17,0.059773758880611094,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
155,Peo1,27700,17,0.07041946678177147,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
156,Per2,748,16,0.02598698261133157,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
157,Phf7,16814,17,0.048788747346283155,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
158,Pitpnb,9316,20,0.20450950687767094,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
159,Plpp6,27511,17,0.049578126258627564,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
160,Plrg1,5611,19,0.13341139142734196,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
161,Pnkp,12612,20,0.20369457865388854,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
162,Pold1,12596,16,0.03796804467173933,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
163,Ppp1r14a,12287,17,0.051198220062152355,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
164,Psme4,19265,20,0.16190261230137531,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
165,Pus1,9310,19,0.15527900195868946,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
166,Pxdc1,21390,19,0.15699487566349546,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
167,Pyroxd2,27664,16,0.030120454218151158,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
168,Rc3h1,1256,20,0.21438552676345646,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
169,Rev3l,14299,17,0.06095603246278702,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
170,Rfx1,15992,17,0.05848171558620777,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
171,Rhot1,20127,20,0.2101697537488553,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
172,Rnase10,17060,15,0.011630679192528151,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
173,Rnf219,17511,16,0.043276749412817124,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
174,Rps6ka3,5067,20,0.17816437848176128,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
175,Sbsn,12358,15,0.012433904043095937,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
176,Sc5d,18010,17,0.055462802156731196,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
177,Scly,740,17,0.06540624970190399,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
178,Sdk1,9902,16,0.043581618817621424,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
179,Sec24d,6281,16,0.04710154882070572,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
180,Setd1a,13780,17,0.07116112963280932,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
181,Setdb2,17258,15,0.018438883413859,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
182,Sfxn5,10817,16,0.02847805496731278,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
183,Sgsm2,19994,16,0.0450182883552838,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
184,Sh2d1b1,1378,15,0.015654239284508653,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
185,Sidt2,18089,20,0.2102341921677859,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
186,Slamf1,1426,17,0.05759175411478471,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
187,Slc22a21,19522,15,0.013492785546822005,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
188,Slc25a16,14476,17,0.05358931847172407,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
189,Slc2a12,14203,17,0.07356198654619879,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
190,Smim8,6735,19,0.11661893984078228,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
191,Sorl1,18008,19,0.12058634092325499,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
192,Sp100,642,19,0.11158855325928893,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
193,Spen,7983,20,0.18690564625623218,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
194,Sptbn1,19261,16,0.043919614140561405,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
195,Srbd1,25686,17,0.06674534662205561,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
196,St3gal1,23141,15,0.019220683649394586,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
197,Sufu,27737,17,0.07252283216638686,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
198,Tango6,16270,15,0.017949306274298138,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
199,Tapbpl,11283,20,0.21594340958761532,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
200,Tbx6,13714,15,0.01664637316035021,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
201,Tex30,278,19,0.14195955923657747,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
202,Tfb2m,1535,16,0.04389117081377823,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
203,Tfrc,24090,17,0.06763609887592635,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
204,Timm9,22396,19,0.11404109670711234,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
205,Tk2,16176,20,0.2151428396545584,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
206,Tmem140,10302,20,0.16321905392543412,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
207,Tmem177,899,16,0.03034978940842385,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
208,Tmem199,20092,20,0.16091757062622947,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
209,Tmem67,6639,15,0.018467722131866014,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
210,Tnip1,19541,17,0.07038711508519452,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
211,Tomm40l,1398,17,0.06554664049781238,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
212,Tpcn1,9495,20,0.2232179622316341,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
213,Trappc5,15279,20,0.16338517620255902,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
214,Triap1,9414,20,0.19706109802138447,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
215,Trim32,7083,17,0.05585889307813136,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
216,Tsr2,5009,17,0.053569445404976004,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
217,Ttc19,19701,20,0.17509150553584146,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
218,Ttc38,23456,17,0.05116614162024318,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
219,Ttyh2,20815,16,0.04175807863348553,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
220,Tusc2,18759,19,0.12799536798560235,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
221,Tyw3,6550,16,0.02681348275627247,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
222,Ube2v1,3834,16,0.03438206984349562,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
223,Ubox5,3289,15,0.01436064133665452,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
224,Ubqln2,5032,20,0.20754670766877797,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
225,Usp18,11190,16,0.036323569099448005,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
226,Usp4,18804,20,0.21752394770786698,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
227,Vamp7,27879,19,0.1310432008674196,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
228,Vegfa,25358,15,0.02007752955323756,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
229,Vezt,14904,17,0.06383615736236178,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
230,Vim,1813,17,0.05599685770380757,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
231,Wdpcp,19196,15,0.023724303545063635,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
232,Wdr19,8808,15,0.011743212503100198,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
233,Wdr59,16334,15,0.014112138987525544,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
234,Wfdc17,20186,17,0.0547604548560766,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
235,Xpr1,1208,20,0.1946834677547568,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
236,Xylt2,20321,16,0.04059227071515483,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
237,Zbed4,23468,16,0.04075708054182989,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
238,Zbed5,9679,15,0.017798413804680082,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
239,Zc3h11a,1026,19,0.12772409234404677,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
240,Zc3h12b,4675,15,0.012461700460154237,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
241,Zc3h13,17436,20,0.22647742671342933,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
242,Zfp316,9923,16,0.03392635765174014,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
243,Zfp318,25372,19,0.12060132852776081,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
244,Zfp446,11811,15,0.020834838304117274,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
245,Zfp609,18340,17,0.06222762719955103,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
246,Zfp747,13754,17,0.06329959284060846,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
247,Zfp790,12296,16,0.028486227766012923,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
248,Zkscan5,9971,16,0.028817000471256658,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
249,Zrsr1,19210,16,0.0393241289237383,Scanpy 1.11.5; seed=42; ctrl_size=50; n_bins=25; use_raw=False; ctrl_as_ref=True; full gene pool,Algorithmic matched-control gene; not a validated neutral biological background
